"","site","block","plot","position_x","position_y","species","sp","mother","micro_topography","light","sand","time","height","diameter","survival"
"1","A1","A","High",0,0,"Shorea falciferoides","Sfal","Sfal1",171.453333333333,26,47.406,0,NA,NA,1
"2","A1","A","High",0,40,"Shorea smithiana","Ssmi","90Ssmi10m",172.453333333333,26,47.406,0,NA,NA,1
"3","A1","A","High",0,80,"Shorea gibbosa","Sgib","Sgib1",172.453333333333,26,47.406,0,NA,NA,1
"4","A1","A","High",0,120,"Shorea acuminatissima","Sacu","8MSacu2",175.453333333333,26,47.406,0,NA,NA,1
"5","A1","A","High",0,160,"Shorea macroptera","Smac","Smac1",177.453333333333,26,47.406,0,NA,NA,1
"6","A1","A","High",0,200,"Shorea seminis","Ssem","Ssem1",176.453333333333,26,47.406,0,NA,NA,1
"7","A1","A","High",0,240,"Shorea mecistopteryx","Smec","Smec1",177.953333333333,26,47.406,0,NA,NA,1
"8","A1","A","High",0,280,"Parashorea tomentella","Ptom","8LPtom6a",177.953333333333,26,47.406,0,NA,NA,1
"9","A1","A","High",40,0,"Shorea xanthophylla","Sxan","Sxan1RDCm",170.953333333333,26,47.406,0,NA,NA,1
"10","A1","A","High",40,40,"Shorea falciferoides","Sfal","Sfal1",170.453333333333,26,47.406,0,NA,NA,1
"11","A1","A","High",40,80,"Parashorea tomentella","Ptom","Ptom3RCDm",173.453333333333,26,47.406,0,NA,NA,1
"12","A1","A","High",40,120,"Parashorea malaanonan","Pmal","8MPmal8m",173.453333333333,26,47.406,0,NA,NA,1
"13","A1","A","High",40,160,"Dryobalanops lanceolata","Dry","Dry1",175.453333333333,26,47.406,0,NA,NA,1
"14","A1","A","High",40,200,"Shorea leprosula","Slep","8PSlep2a",174.453333333333,26,47.406,0,NA,NA,1
"15","A1","A","High",40,240,"Shorea beccariana","Sbec","Sbec1",174.453333333333,26,47.406,0,NA,NA,1
"16","A1","A","High",40,280,"Dryobalanops lanceolata","Dry","Dry1",176.453333333333,26,47.406,0,NA,NA,1
"17","A1","A","High",80,0,"Shorea acuminatissima","Sacu","9OSacu3",165.453333333333,26,47.406,0,NA,NA,1
"18","A1","A","High",80,40,"Shorea gibbosa","Sgib","Sgib1",166.453333333333,26,47.406,0,NA,NA,1
"19","A1","A","High",80,80,"Shorea mecistopteryx","Smec","Smec1",168.953333333333,26,47.406,0,NA,NA,1
"20","A1","A","High",80,120,"Shorea parvifolia","Spar","9PSpar2",171.453333333333,26,47.406,0,NA,NA,1
"21","A1","A","High",80,160,"Shorea smithiana","Ssmi","Ssmi4a",170.953333333333,26,47.406,0,NA,NA,1
"22","A1","A","High",80,200,"Shorea seminis","Ssem","Ssem1",173.453333333333,26,47.406,0,NA,NA,1
"23","A1","A","High",80,240,"Shorea xanthophylla","Sxan","11HSxan1a",175.453333333333,26,47.406,0,NA,NA,1
"24","A1","A","High",80,280,"Shorea xanthophylla","Sxan","8MSxan9m",176.453333333333,26,47.406,0,NA,NA,1
"25","A1","A","High",120,0,"Dryobalanops lanceolata","Dry","Dry1",157.453333333333,26,47.406,0,NA,NA,1
"26","A1","A","High",120,40,"Dryobalanops lanceolata","Dry","Dry1",161.453333333333,26,47.406,0,NA,NA,1
"27","A1","A","High",120,80,"Shorea macroptera","Smac","Smac1",163.453333333333,26,47.406,0,NA,NA,1
"28","A1","A","High",120,120,"Shorea leprosula","Slep","9PSlep2m",168.453333333333,26,47.406,0,NA,NA,1
"29","A1","A","High",120,160,"Shorea xanthophylla","Sxan","9KSxan29a",169.453333333333,26,47.406,0,NA,NA,1
"30","A1","A","High",120,200,"Shorea mecistopteryx","Smec","Smec1",170.453333333333,26,47.406,0,NA,NA,1
"31","A1","A","High",120,240,"Shorea pauciflora","Spau","Spau1",171.453333333333,26,47.406,0,NA,NA,1
"32","A1","A","High",120,280,"Shorea acuminatissima","Sacu","9OSacu3",173.453333333333,26,47.406,0,NA,NA,1
"33","A1","A","High",160,0,"Shorea parvifolia","Spar","Spar1RDC",160.453333333333,26,47.406,0,NA,NA,1
"34","A1","A","High",160,40,"Parashorea tomentella","Ptom","PtomRDC1a",160.453333333333,26,47.406,0,NA,NA,1
"35","A1","A","High",160,80,"Shorea waltonii","Swal","Swal1",160.953333333333,26,47.406,0,NA,NA,1
